自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
8171,4,3729,2210000388,2025-04-21,付勇斌,14.0,853.0,17,付勇斌,6,2025-04-21 11:44:04,,,,0
8172,4,3745,2210000401,2025-04-23,付勇斌,9.0,590.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8173,4,3746,2210000402,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8174,4,3747,2210000403,2025-04-23,付勇斌,9.0,590.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8175,4,3748,2210000404,2025-04-23,付勇斌,9.0,545.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8176,4,3749,2210000405,2025-04-23,付勇斌,9.0,550.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8177,4,3750,2210000406,2025-04-23,付勇斌,9.0,555.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8178,4,3751,2210000407,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8179,4,3752,2210000408,2025-04-23,付勇斌,9.0,575.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8180,4,3753,2210000409,2025-04-23,付勇斌,9.0,595.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8181,4,3754,2210000410,2025-04-23,付勇斌,9.0,515.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8182,4,3755,2210000411,2025-04-23,付勇斌,9.0,550.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8183,4,3756,2210000412,2025-04-23,付勇斌,9.0,560.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8184,4,3757,2210000413,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8185,4,3758,2210000414,2025-04-23,付勇斌,9.0,570.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8186,4,3759,2210000415,2025-04-23,付勇斌,9.0,585.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8187,4,3760,2210000416,2025-04-23,付勇斌,9.0,650.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8188,4,3761,2210000417,2025-04-23,付勇斌,9.0,660.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8189,4,3762,2210000418,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8190,4,3763,2210000419,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8191,4,3764,2210000420,2025-04-23,付勇斌,9.0,625.0,17,付勇斌,6,2025-04-23 16:03:57,,,,0
8192,4,3765,2210000421,2025-04-23,付勇斌,9.0,565.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8193,4,3766,2210000422,2025-04-23,付勇斌,9.0,575.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8194,4,3767,2210000423,2025-04-23,付勇斌,9.0,530.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
