自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
1158,4,3699,2210000260,2024-03-15,付勇斌,14.0,471.0,17,付勇斌,6,2024-03-15 11:44:02,,,2024-04-25 14:23:00,0
1159,4,3700,2210000258,2024-03-15,付勇斌,14.0,511.0,17,付勇斌,6,2024-03-15 11:44:02,,,2024-04-25 14:23:00,0
1160,4,3701,2210000259,2024-03-15,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-15 11:44:02,,,2024-04-25 14:23:00,0
1161,4,3702,2210000377,2024-03-15,付勇斌,14.0,310.0,17,付勇斌,6,2024-03-15 11:44:02,,,2024-04-25 14:23:00,0
1162,4,3703,2210000256,2024-03-15,付勇斌,14.0,453.0,17,付勇斌,6,2024-03-15 11:44:02,,,2024-04-25 14:23:00,0
1163,4,3469,202310051248,2024-02-20,付勇斌,17.0,656.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1164,4,3470,202310051249,2024-02-20,付勇斌,17.0,665.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1165,4,3471,202310051250,2024-02-20,付勇斌,17.0,731.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1166,4,3472,202310051251,2024-02-20,付勇斌,17.0,688.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1167,4,3473,202310051252,2024-02-20,付勇斌,17.0,660.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1168,4,3474,202310051253,2024-02-20,付勇斌,17.0,650.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1169,4,3475,202310051254,2024-02-20,付勇斌,17.0,697.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1170,4,3476,202310051255,2024-02-20,付勇斌,17.0,734.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1171,4,3477,202310051256,2024-02-20,付勇斌,17.0,733.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1172,4,3478,202310051257,2024-02-20,付勇斌,17.0,701.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1173,4,3479,202310051258,2024-02-20,付勇斌,17.0,682.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1174,4,3480,202310051259,2024-02-20,付勇斌,17.0,680.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1175,4,3481,202310051260,2024-02-20,付勇斌,17.0,698.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1176,4,3482,202310051261,2024-02-20,付勇斌,17.0,721.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1177,4,3483,202310051262,2024-02-20,付勇斌,17.0,665.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1178,4,3484,202310051263,2024-02-20,付勇斌,17.0,639.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1179,4,3485,202310051264,2024-02-20,付勇斌,17.0,661.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1180,4,3486,202310051265,2024-02-20,付勇斌,17.0,649.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1181,4,3487,202310051266,2024-02-20,付勇斌,17.0,720.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1182,4,3488,202310051267,2024-02-20,付勇斌,17.0,658.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1183,4,3489,202310051268,2024-02-20,付勇斌,17.0,745.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1184,4,3490,202310051269,2024-02-20,付勇斌,17.0,690.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1185,4,3491,202310051270,2024-02-20,付勇斌,17.0,719.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1186,4,3492,202310051271,2024-02-20,付勇斌,17.0,680.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1187,4,3493,202310051272,2024-02-20,付勇斌,17.0,697.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1188,4,3494,202310051273,2024-02-20,付勇斌,17.0,703.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1189,4,3495,202310051274,2024-02-20,付勇斌,17.0,673.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1190,4,3496,202310051275,2024-02-20,付勇斌,17.0,729.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1191,4,3497,202310051276,2024-02-20,付勇斌,17.0,675.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1192,4,3498,202310051277,2024-02-20,付勇斌,17.0,725.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1193,4,3499,202310051278,2024-02-20,付勇斌,17.0,683.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1194,4,3500,202310051279,2024-02-20,付勇斌,17.0,696.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1195,4,3501,202310051280,2024-02-20,付勇斌,17.0,723.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1196,4,3502,202310051281,2024-02-20,付勇斌,17.0,678.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1197,4,3503,202310051282,2024-02-20,付勇斌,17.0,679.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1198,4,3504,202310051283,2024-02-20,付勇斌,17.0,655.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1199,4,3505,202310051284,2024-02-20,付勇斌,17.0,659.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1200,4,3506,202310051285,2024-02-20,付勇斌,17.0,640.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1201,4,3507,202310051286,2024-02-20,付勇斌,17.0,680.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1202,4,3508,202310051287,2024-02-20,付勇斌,17.0,648.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1203,4,3509,202310051288,2024-02-20,付勇斌,17.0,644.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1204,4,3510,202310051289,2024-02-20,付勇斌,17.0,674.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1205,4,3511,202310051290,2024-02-20,付勇斌,17.0,700.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1206,4,3512,202310051291,2024-02-20,付勇斌,17.0,647.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1207,4,3513,202310051292,2024-02-20,付勇斌,17.0,641.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1208,4,3514,202310051293,2024-02-20,付勇斌,17.0,687.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1209,4,3515,202310051294,2024-02-20,付勇斌,17.0,732.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1210,4,3516,202310051295,2024-02-20,付勇斌,17.0,669.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1211,4,3517,202310051296,2024-02-20,付勇斌,17.0,736.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1212,4,3518,202310051297,2024-02-20,付勇斌,17.0,730.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1213,4,3519,202310051298,2024-02-20,付勇斌,17.0,683.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1214,4,3520,202310051299,2024-02-20,付勇斌,17.0,728.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1215,4,3521,202310051300,2024-02-20,付勇斌,17.0,700.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1216,4,3522,202310051301,2024-02-20,付勇斌,17.0,666.0,15,付勇斌,6,2024-02-20 00:00:00,,,,0
1217,4,3598,2210000320,2024-03-21,付勇斌,12.0,365.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1218,4,3599,2210000288,2024-03-21,付勇斌,12.0,486.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1219,4,3600,2210000187,2024-03-21,付勇斌,12.0,290.0,17,付勇斌,6,2024-03-21 11:44:04,,,2025-02-25 16:43:06,0
1220,4,3601,2210000340,2024-03-21,付勇斌,12.0,283.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1221,4,3602,2210000341,2024-03-21,付勇斌,12.0,315.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1222,4,3603,2210000220,2024-03-21,付勇斌,12.0,320.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1223,4,3604,2210000339,2024-03-21,付勇斌,12.0,283.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1224,4,3605,2210000219,2024-03-21,付勇斌,12.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1225,4,3606,2210000216,2024-03-21,付勇斌,12.0,330.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1226,4,3607,2210000337,2024-03-21,付勇斌,12.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1227,4,3608,e2806894200050243a30315d,2024-03-21,付勇斌,12.0,400.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1228,4,3609,2210000338,2024-03-21,付勇斌,12.0,320.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1229,4,3610,2210000217,2024-03-21,付勇斌,12.0,395.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-07-05 16:58:57,0
1230,4,3611,2210000335,2024-03-21,付勇斌,12.0,222.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1231,4,3612,2210000214,2024-03-21,付勇斌,12.0,369.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1232,4,3613,2210000215,2024-03-21,付勇斌,12.0,383.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1233,4,3614,2210000336,2024-03-21,付勇斌,12.0,227.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1234,4,3615,2210000333,2024-03-21,付勇斌,12.0,285.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1235,4,3616,e280689420004022a1515523,2024-03-21,付勇斌,12.0,382.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1236,4,3617,2210000334,2024-03-21,付勇斌,12.0,349.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1237,4,3618,2210000213,2024-03-21,付勇斌,12.0,361.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1238,4,3619,2210000210,2024-03-21,付勇斌,12.0,315.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1239,4,3620,2210000298,2024-03-21,付勇斌,12.0,300.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1240,4,3621,2210000331,2024-03-21,付勇斌,12.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1241,4,3622,2210000211,2024-03-21,付勇斌,12.0,330.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1242,4,3623,2210000332,2024-03-21,付勇斌,12.0,295.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1243,4,3624,2210000351,2024-03-21,付勇斌,12.0,315.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1244,4,3625,2210000230,2024-03-21,付勇斌,12.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1245,4,3626,2210000231,2024-03-21,付勇斌,12.0,369.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1246,4,3627,2210000352,2024-03-21,付勇斌,12.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1247,4,3628,2210000350,2024-03-21,付勇斌,12.0,310.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1248,4,3629,2210000229,2024-03-21,付勇斌,12.0,393.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1249,4,3630,2210000348,2024-03-21,付勇斌,12.0,258.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1250,4,3631,2210000227,2024-03-21,付勇斌,12.0,409.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1251,4,3632,2210000349,2024-03-21,付勇斌,12.0,374.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1252,4,3633,2210000228,2024-03-21,付勇斌,12.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1253,4,3634,2210000225,2024-03-21,付勇斌,12.0,423.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1254,4,3635,2210000346,2024-03-21,付勇斌,12.0,354.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1255,4,3636,2210000226,2024-03-21,付勇斌,12.0,423.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1256,4,3637,2210000347,2024-03-21,付勇斌,12.0,263.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1257,4,3638,2210000344,2024-03-21,付勇斌,12.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1258,4,3639,2210000223,2024-03-21,付勇斌,12.0,212.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1259,4,3640,2210000224,2024-03-21,付勇斌,12.0,423.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1260,4,3641,2210000345,2024-03-21,付勇斌,12.0,238.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1261,4,3642,2210000342,2024-03-21,付勇斌,12.0,325.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1262,4,3643,2210000221,2024-03-21,付勇斌,12.0,258.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1263,4,3644,2210000222,2024-03-21,付勇斌,12.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1264,4,3645,2210000343,2024-03-21,付勇斌,12.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1265,4,3646,2210000362,2024-03-21,付勇斌,12.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1266,4,3647,2210000241,2024-03-21,付勇斌,12.0,511.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1267,4,3648,2210000242,2024-03-21,付勇斌,12.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1268,4,3649,2210000363,2024-03-21,付勇斌,12.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1269,4,3650,2210000360,2024-03-21,付勇斌,12.0,310.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1270,4,3651,2210000361,2024-03-21,付勇斌,12.0,320.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1271,4,3652,2210000240,2024-03-21,付勇斌,12.0,481.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1272,4,3653,2210000359,2024-03-21,付勇斌,12.0,295.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1273,4,3654,2210000238,2024-03-21,付勇斌,12.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1274,4,3655,2210000239,2024-03-21,付勇斌,12.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1275,4,3656,2210000236,2024-03-21,付勇斌,12.0,511.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1276,4,3657,2210000357,2024-03-21,付勇斌,12.0,398.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1277,4,3658,2210000358,2024-03-21,付勇斌,12.0,217.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1278,4,3659,2210000237,2024-03-21,付勇斌,12.0,428.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1279,4,3660,2210000355,2024-03-21,付勇斌,12.0,413.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1280,4,3661,2210000234,2024-03-21,付勇斌,12.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1281,4,3662,2210000183,2024-03-21,付勇斌,12.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1282,4,3663,2210000235,2024-03-21,付勇斌,12.0,330.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1283,4,3664,2210000353,2024-03-21,付勇斌,12.0,408.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1284,4,3665,2210000232,2024-03-21,付勇斌,12.0,501.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1285,4,3666,2210000354,2024-03-21,付勇斌,12.0,349.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1286,4,3704,2210000257,2024-03-21,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1287,4,3705,2210000375,2024-03-21,付勇斌,14.0,379.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1288,4,3706,2210000254,2024-03-21,付勇斌,14.0,423.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1289,4,3707,2210000376,2024-03-21,付勇斌,14.0,438.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1290,4,3708,2210000395,2024-03-21,付勇斌,14.0,486.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1291,4,3709,2210000274,2024-03-21,付勇斌,14.0,349.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1292,4,3710,2210000396,2024-03-21,付勇斌,14.0,418.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1293,4,3711,2210000275,2024-03-21,付勇斌,14.0,433.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1294,4,3712,2210000272,2024-03-21,付勇斌,14.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1295,4,3713,2210000393,2024-03-21,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1296,4,3714,2210000273,2024-03-21,付勇斌,14.0,369.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1297,4,3715,2210000394,2024-03-21,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1298,4,3716,2210000270,2024-03-21,付勇斌,14.0,458.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1299,4,3717,2210000391,2024-03-21,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1300,4,3718,2210000271,2024-03-21,付勇斌,14.0,379.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1301,4,3719,2210000392,2024-03-21,付勇斌,14.0,413.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1302,4,3720,2210000390,2024-03-21,付勇斌,14.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1303,4,3721,2210000308,2024-03-21,付勇斌,14.0,283.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1304,4,3722,2210000309,2024-03-21,付勇斌,14.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1305,4,3723,2210000306,2024-03-21,付勇斌,14.0,263.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1306,4,3724,2210000307,2024-03-21,付勇斌,14.0,290.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1307,4,3725,2210000304,2024-03-21,付勇斌,14.0,453.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1308,4,3726,2210000305,2024-03-21,付勇斌,14.0,369.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1309,4,3727,2210000269,2024-03-21,付勇斌,14.0,471.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1310,4,3728,2210000303,2024-03-21,付勇斌,14.0,285.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1311,4,3729,2210000388,2024-03-21,付勇斌,14.0,485.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1312,4,3730,2210000300,2024-03-21,付勇斌,14.0,369.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1313,4,3731,2210000267,2024-03-21,付勇斌,14.0,511.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1314,4,3732,2210000389,2024-03-21,付勇斌,14.0,330.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1315,4,3733,2210000268,2024-03-21,付勇斌,14.0,408.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1316,4,3734,2210000301,2024-03-21,付勇斌,14.0,320.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1317,4,3735,2210000386,2024-03-21,付勇斌,14.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1318,4,3736,2210000265,2024-03-21,付勇斌,14.0,330.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1319,4,3737,2210000387,2024-03-21,付勇斌,14.0,463.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1320,4,3738,e280689420005022a150e120,2024-03-21,付勇斌,14.0,512.0,17,付勇斌,6,2024-03-21 11:44:04,,,,0
1321,4,3739,2210000266,2024-03-21,付勇斌,14.0,379.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1322,4,3740,2210000176,2024-03-21,付勇斌,14.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1323,4,3742,2210000177,2024-03-21,付勇斌,14.0,283.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1324,4,3743,2210000178,2024-03-21,付勇斌,14.0,339.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1325,4,3502,202310051281,2024-03-20,付勇斌,17.0,709.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1326,4,3503,202310051282,2024-03-20,付勇斌,17.0,717.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1327,4,3504,202310051283,2024-03-20,付勇斌,17.0,693.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1328,4,3505,202310051284,2024-03-20,付勇斌,17.0,693.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1329,4,3506,202310051285,2024-03-20,付勇斌,17.0,675.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1330,4,3507,202310051286,2024-03-20,付勇斌,17.0,714.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1331,4,3508,202310051287,2024-03-20,付勇斌,17.0,682.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1332,4,3509,202310051288,2024-03-20,付勇斌,17.0,683.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1333,4,3510,202310051289,2024-03-20,付勇斌,17.0,705.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1334,4,3511,202310051290,2024-03-20,付勇斌,17.0,739.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1335,4,3512,202310051291,2024-03-20,付勇斌,17.0,687.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1336,4,3513,202310051292,2024-03-20,付勇斌,17.0,673.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1337,4,3514,202310051293,2024-03-20,付勇斌,17.0,726.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1338,4,3515,202310051294,2024-03-20,付勇斌,17.0,772.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1339,4,3516,202310051295,2024-03-20,付勇斌,17.0,700.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1340,4,3517,202310051296,2024-03-20,付勇斌,17.0,772.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1341,4,3518,202310051297,2024-03-20,付勇斌,17.0,768.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1342,4,3519,202310051298,2024-03-20,付勇斌,17.0,723.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1343,4,3520,202310051299,2024-03-20,付勇斌,17.0,765.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1344,4,3521,202310051300,2024-03-20,付勇斌,17.0,734.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1345,4,3522,202310051301,2024-03-20,付勇斌,17.0,704.0,15,付勇斌,6,2024-03-20 00:00:00,,,,0
1348,4,3741,2210000179,2024-01-21,付勇斌,14.0,253.0,17,付勇斌,6,2024-01-21 11:44:04,,,2024-04-25 14:23:39,0
1349,4,3741,2210000179,2024-02-21,付勇斌,14.0,281.0,17,付勇斌,6,2024-02-21 11:44:04,,,2024-04-25 14:23:25,0
1350,4,3741,2210000179,2024-03-21,付勇斌,14.0,305.0,17,付勇斌,6,2024-03-21 11:44:04,,,2024-04-25 14:23:00,0
1351,4,3549,2210000285,2024-04-15,付勇斌,11.0,370.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1352,4,3550,2210000283,2024-04-15,付勇斌,11.0,225.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1353,4,3551,2210000284,2024-04-15,付勇斌,11.0,490.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1354,4,3552,2210000281,2024-04-15,付勇斌,11.0,525.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1355,4,3553,2210000282,2024-04-15,付勇斌,11.0,400.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1356,4,3554,2210000280,2024-04-15,付勇斌,11.0,390.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1357,4,3555,e2806894200040243a32b855,2024-04-15,付勇斌,11.0,335.0,17,付勇斌,6,2024-04-15 11:44:02,,,,0
1358,4,3556,2210000319,2024-04-15,付勇斌,11.0,225.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1359,4,3557,2210000317,2024-04-15,付勇斌,11.0,225.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
1360,4,3558,2210000318,2024-04-15,付勇斌,11.0,305.0,17,付勇斌,6,2024-04-15 11:44:02,,,2024-04-25 10:26:31,0
